Disease,Model,Accuracy_mean,Accuracy_std,Accuracy,Precision_mean,Precision_std,Precision,Recall_mean,Recall_std,Recall,Specificity_mean,Specificity_std,Specificity,F1_mean,F1_std,F1,AUC_ROC_mean,AUC_ROC_std,AUC_ROC,AUC_PR_mean,AUC_PR_std,AUC_PR,MCC_mean,MCC_std,MCC,Brier_mean,Brier_std,Brier
Stroke,CatBoost_Tuned,0.9594292021444341,1.5767896562612905e-05,0.9594±0.0000,0.0,0.0,0.0000±0.0000,0.0,0.0,0.0000±0.0000,1.0,0.0,1.0000±0.0000,0.0,0.0,0.0000±0.0000,0.8103615363663546,0.005165921186072345,0.8104±0.0052,0.15093148550538274,0.009800291467364025,0.1509±0.0098,0.0,0.0,0.0000±0.0000,0.03643363432526704,0.0001921565673231997,0.0364±0.0002
Hypertension,Logistic_Regression,0.7212748344370861,0.0023687984845690126,0.7213±0.0024,0.6856965180137792,0.003424527046914854,0.6857±0.0034,0.6467669293229216,0.0026266944919282093,0.6468±0.0026,0.7772538602850855,0.003252468825958873,0.7773±0.0033,0.6656591826195234,0.0025663551203724253,0.6657±0.0026,0.7926491319427545,0.002388891691451233,0.7926±0.0024,0.7168784294922828,0.00425928932577036,0.7169±0.0043,0.42757561368652874,0.004761483153727717,0.4276±0.0048,0.1834922016019363,0.0010435952965050868,0.1835±0.0010
Hypertension,KNN,0.6896010722169663,0.003333558581387994,0.6896±0.0033,0.641792501796558,0.004114577897384083,0.6418±0.0041,0.625697138245234,0.005196356616264016,0.6257±0.0052,0.7376130982595362,0.0039595004157839,0.7376±0.0040,0.6336344238214717,0.004117045594813564,0.6336±0.0041,0.745504037564402,0.002596496349330728,0.7455±0.0026,0.639217216260725,0.0031340909234607557,0.6392±0.0031,0.3645411499624534,0.00683658159824828,0.3645±0.0068,0.20800719530953343,0.001301086879970168,0.2080±0.0013
Hypertension,Random_Forest,0.7241248817407757,0.0017485843711253488,0.7241±0.0017,0.6872715817418783,0.0026457998314004436,0.6873±0.0026,0.6549907899941168,0.0034837064898461073,0.6550±0.0035,0.7760664121396346,0.0030611001326923725,0.7761±0.0031,0.6707354938886517,0.002184006568252546,0.6707±0.0022,0.7965777114541652,0.002437757087788464,0.7966±0.0024,0.7276482054090554,0.004883638618503579,0.7276±0.0049,0.43396718729162487,0.0035443523561430896,0.4340±0.0035,0.1818795904781882,0.0010057839261726226,0.1819±0.0010
Hypertension,XGBoost_Tuned,0.72621412803532,0.0020637429984984345,0.7262±0.0021,0.6846073199085787,0.002813063718005728,0.6846±0.0028,0.6708873219578014,0.0023823856097182506,0.6709±0.0024,0.7677820538378478,0.0026975279583936976,0.7678±0.0027,0.6776754261472373,0.0022568971452844753,0.6777±0.0023,0.7991460225875574,0.002368795334572622,0.7991±0.0024,0.7311284805003408,0.004709262510466486,0.7311±0.0047,0.4398358824451611,0.004135520554225723,0.4398±0.0041,0.1804585527165759,0.001058673664934692,0.1805±0.0011
Hypertension,LightGBM_Tuned,0.7260485651214128,0.0016742209711048527,0.7260±0.0017,0.6843731122122062,0.0021730336950553306,0.6844±0.0022,0.6707862401314761,0.0027667603606315056,0.6708±0.0028,0.7675680455355917,0.0021945165527691183,0.7676±0.0022,0.6775085581868876,0.0020502862510645235,0.6775±0.0021,0.7988296003759507,0.0023478593527476257,0.7988±0.0023,0.7305858571769358,0.004725154134934037,0.7306±0.0047,0.4395083572121691,0.003421362838215521,0.4395±0.0034,0.18060690061352452,0.0010399606210582247,0.1806±0.0010
Hypertension,CatBoost_Tuned,0.72639545884579,0.002064992533887974,0.7264±0.0021,0.6858099080257366,0.002611462699687375,0.6858±0.0026,0.6684890616899406,0.0032023455659167485,0.6685±0.0032,0.7699014658124438,0.0024451389573933637,0.7699±0.0024,0.6770354332311067,0.0025270371681168874,0.6770±0.0025,0.7992077650395298,0.002337161920323294,0.7992±0.0023,0.7314852633168037,0.00467873087456277,0.7315±0.0047,0.43988255056244974,0.004232702179561428,0.4399±0.0042,0.1804367414670644,0.0010254065313645975,0.1804±0.0010
Diabetes,TabNet,0.8499093345947651,0.0013093348849134638,0.8499±0.0013,0.575969566389881,0.018275226110758998,0.5760±0.0183,0.18428041891849103,0.023635179846903418,0.1843±0.0236,0.974427086618918,0.004481289682710357,0.9744±0.0045,0.27809592117199233,0.026329972620498826,0.2781±0.0263,0.817132558107901,0.003769791195424728,0.8171±0.0038,0.44566113430636295,0.00771205917395971,0.4457±0.0077,0.26376391246609254,0.015310594946679704,0.2638±0.0153,0.10757001411610605,0.0007787666659770316,0.1076±0.0008
HeartDisease,TabNet,0.9064411857458214,0.0005341920408856599,0.9064±0.0005,0.5498319887334567,0.05816157669076419,0.5498±0.0582,0.0557908545267623,0.02516782649768132,0.0558±0.0252,0.994890918485402,0.0026726927282811515,0.9949±0.0027,0.09912701301420404,0.04100576964432595,0.0991±0.0410,0.8375404347199782,0.0037563531879485517,0.8375±0.0038,0.34143074024791564,0.0055199549559196825,0.3414±0.0055,0.1467071143215283,0.03263643002774271,0.1467±0.0326,0.07189382541656218,0.00043157043496080445,0.0719±0.0004
Stroke,TabNet,0.9594292021444341,1.5767896562612905e-05,0.9594±0.0000,0.0,0.0,0.0000±0.0000,0.0,0.0,0.0000±0.0000,1.0,0.0,1.0000±0.0000,0.0,0.0,0.0000±0.0000,0.8087533530616978,0.005842208296771289,0.8088±0.0058,0.1459880525216361,0.009230405525454769,0.1460±0.0092,0.0,0.0,0.0000±0.0000,0.03659096331381552,0.00023422261621994,0.0366±0.0002
Hypertension,TabNet,0.7249645222327341,0.002121532981408854,0.7250±0.0021,0.6844489887915783,0.006442083758342367,0.6844±0.0064,0.6665962916150654,0.02278269998109362,0.6666±0.0228,0.7688176502745965,0.014731721917075119,0.7688±0.0147,0.6750912066942588,0.008791610168570975,0.6751±0.0088,0.797883958872241,0.0025218984782111767,0.7979±0.0025,0.7296380360152595,0.004691493309548198,0.7296±0.0047,0.43718959263822577,0.006326262028323653,0.4372±0.0063,0.18124363039247812,0.0010304371529921321,0.1812±0.0010
Diabetes,Stacking_Ensemble,0.8498975086723431,0.0013820316226455095,0.8499±0.0014,0.557864729810271,0.010251601581719703,0.5579±0.0103,0.22880670382727017,0.007640367404281831,0.2288±0.0076,0.9660837591961975,0.0010325552331472692,0.9661±0.0010,0.324474444416351,0.008983612239736902,0.3245±0.0090,0.8185919411132477,0.0039795754256584225,0.8186±0.0040,0.4489103137231897,0.007832416335759526,0.4489±0.0078,0.2887736377623987,0.008953635579330557,0.2888±0.0090,0.10891770430643107,0.0009119099837588045,0.1089±0.0009
HeartDisease,Stacking_Ensemble,0.9052112898139388,0.0006463395244105829,0.9052±0.0006,0.4883167140074439,0.0124599589423634,0.4883±0.0125,0.13573043114273756,0.007410188143418044,0.1357±0.0074,0.9852210941208697,0.0005936289757674169,0.9852±0.0006,0.21235756659954164,0.00992930264448272,0.2124±0.0099,0.8390774692472572,0.0036481831290705695,0.8391±0.0036,0.34561138207455444,0.007012563681439826,0.3456±0.0070,0.2212081842720978,0.009524806857027345,0.2212±0.0095,0.07323542051386686,0.00046735911529151725,0.0732±0.0005
Stroke,Stacking_Ensemble,0.958755124566383,0.00022853252981135946,0.9588±0.0002,0.26993661739017777,0.06954532714992422,0.2699±0.0695,0.009716285959598817,0.0028165315706525904,0.0097±0.0028,0.9988865527296253,0.00017377432644445648,0.9989±0.0002,0.01874949464495057,0.005403604728454893,0.0187±0.0054,0.8105795139408978,0.005359424868322594,0.8106±0.0054,0.1510111626191872,0.010043629241483375,0.1510±0.0100,0.044383238874019355,0.01397894140992804,0.0444±0.0140,0.03703787082158419,0.00030460299515377764,0.0370±0.0003
Hypertension,Stacking_Ensemble,0.7260840428886786,0.0018473564588171976,0.7261±0.0018,0.6878855389103171,0.0025699901134084305,0.6879±0.0026,0.6617812958445262,0.0024999922906031287,0.6618±0.0025,0.774395748819364,0.0025038497114903344,0.7744±0.0025,0.6745780394043267,0.002108564845156282,0.6746±0.0021,0.7992341988853254,0.0023509253609223534,0.7992±0.0024,0.7313383243381594,0.004708263544077156,0.7313±0.0047,0.43849214254454116,0.0037328136969137357,0.4385±0.0037,0.18106840513965247,0.0011094422840454005,0.1811±0.0011
